The program is using data type: double.
Dimension: 2.
Reading basic information about the lattice: Dimension DIM, Length L and primitive lattice vectors LattVectors
Reading the energy scale, number of orbitals NOrbitals and their positions OrbPositions
Reading data type and checking whether it is complex.
Reading the list of quantities to calculate, Calculation/FunctionNum.
Searching which quantities need to be calculated.
MU needed? 1
GammaXX needed? 1
GammaXY needed? 0
LambdaXX needed? 1
LambdaXY needed? 0
Filling the MU matrix.
Filling the GammaXX matrix.
Filling the LambdaXX matrix.
Calculating the density of states with 1001 energies... Done.
calculating the optical conductivityxxSetting lambda functions
Entered contract 2d.
First part of the calculation.
Second part of the calculation.
Left contract.
Entered contract 2d.
First part of the calculation.
Second part of the calculation.
Left contract.
1.08 -0.106106 -0.0289532 -0.105552 0.030913 0.117219 -0.00108536
1.095 -0.102646 -0.0268872 -0.102138 0.0287573 0.115614 -0.00105583
1.11 -0.0996942 -0.0252103 -0.0992238 0.0270023 0.114052 -0.00102749
1.125 -0.0966007 -0.0234634 -0.0961683 0.0251769 0.112531 -0.00100028
1.14 -0.0939331 -0.0220229 -0.0935323 0.0236674 0.111051 -0.000974129
1.155 -0.091157 -0.020478 -0.0907888 0.0220533 0.109609 -0.000948993
1.17 -0.0886273 -0.0191082 -0.0882877 0.0206203 0.108204 -0.000924818
1.185 -0.0860352 -0.017761 -0.0857232 0.0192104 0.106834 -0.000901555
1.2 -0.0836296 -0.0166403 -0.0833407 0.0180318 0.105499 -0.000879158
1.215 -0.0812396 -0.0154981 -0.0809735 0.0168332 0.104197 -0.000857586
1.23 -0.0790553 -0.0145125 -0.0788089 0.0157959 0.102926 -0.000836798
1.245 -0.0768451 -0.0135054 -0.0766182 0.014738 0.101686 -0.000816757
1.26 -0.0748299 -0.0126418 -0.0746198 0.0138279 0.100476 -0.000797428
1.275 -0.0727601 -0.0117245 -0.0725673 0.0128643 0.099294 -0.000778776
1.29 -0.0708688 -0.0109783 -0.0706901 0.0120757 0.0981395 -0.000760771
1.305 -0.0689841 -0.0102073 -0.0688196 0.0112633 0.0970116 -0.000743384
1.32 -0.0672416 -0.00950236 -0.06709 0.01052 0.0959093 -0.000726586
1.335 -0.065459 -0.00877055 -0.0653202 0.00975017 0.0948318 -0.000710351
1.35 -0.0637933 -0.0081627 -0.0636654 0.00910684 0.0937783 -0.000694654
1.365 -0.0621097 -0.00753826 -0.0619925 0.00844743 0.0927478 -0.000679471
1.38 -0.0605636 -0.00701035 -0.0604557 0.0078873 0.0917398 -0.000664781
1.395 -0.059007 -0.00645475 -0.0589084 0.00730002 0.0907535 -0.000650562
1.41 -0.0575276 -0.00595955 -0.0574373 0.00677491 0.0897881 -0.000636795
1.425 -0.0560339 -0.0054969 -0.0559513 0.00628276 0.0888431 -0.00062346
1.44 -0.0546601 -0.00511048 -0.0545838 0.00586911 0.0879177 -0.00061054
1.455 -0.0532924 -0.00471276 -0.0532226 0.00544482 0.0870114 -0.000598017
1.47 -0.0520349 -0.0043623 -0.0519707 0.00506983 0.0861236 -0.000585875
1.485 -0.050759 -0.0039745 -0.0507009 0.00465773 0.0852538 -0.000574099
1.5 -0.0495446 -0.00365321 -0.0494915 0.00431345 0.0844013 -0.000562675
1.515 -0.0483442 -0.00333377 -0.048296 0.00397166 0.0835657 -0.000551589
1.53 -0.0471984 -0.00304567 -0.0471546 0.00366235 0.0827465 -0.000540827
1.545 -0.0460707 -0.00277672 -0.0460309 0.00337285 0.0819432 -0.000530377
1.56 -0.0450012 -0.00251889 -0.0449652 0.00309559 0.0811554 -0.000520227
1.575 -0.0439273 -0.00227004 -0.0438949 0.00282765 0.0803825 -0.000510365
1.59 -0.0429062 -0.00207237 -0.0428767 0.00261188 0.0796243 -0.000500782
1.605 -0.0419053 -0.00186891 -0.0418788 0.00239093 0.0788802 -0.000491465
1.62 -0.0409661 -0.00169015 -0.0409421 0.00219576 0.0781499 -0.000482406
1.635 -0.0400231 -0.001496 -0.0400018 0.00198545 0.0774329 -0.000473596
1.65 -0.0391153 -0.00133962 -0.0390962 0.00181363 0.0767291 -0.000465025
1.665 -0.0382207 -0.00119075 -0.0382036 0.00164975 0.0760378 -0.000456684
1.68 -0.0373763 -0.00106765 -0.037361 0.00151251 0.075359 -0.000448565
1.695 -0.0365462 -0.000934979 -0.0365327 0.00136612 0.0746921 -0.000440662
1.71 -0.0357431 -0.000822197 -0.035731 0.00124017 0.074037 -0.000432965
1.725 -0.0349556 -0.000718206 -0.0349449 0.00112343 0.0733932 -0.000425468
1.74 -0.0342037 -0.000627305 -0.0341942 0.0010204 0.0727606 -0.000418164
1.755 -0.0334661 -0.00053661 -0.0334578 0.000917943 0.0721387 -0.000411047
1.77 -0.0327522 -0.000459635 -0.0327449 0.000829675 0.0715274 -0.00040411
1.785 -0.0320544 -0.00038789 -0.032048 0.000747007 0.0709264 -0.000397347
1.8 -0.03138 -0.000327686 -0.0313744 0.000676322 0.0703354 -0.000390752
1.815 -0.0307254 -0.000273626 -0.0307205 0.00061217 0.0697541 -0.00038432
1.83 -0.0300902 -0.00022599 -0.0300859 0.000554821 0.0691824 -0.000378046
1.845 -0.0294728 -0.000185502 -0.0294691 0.00050497 0.06862 -0.000371924
1.86 -0.028875 -0.000150905 -0.0288717 0.000461372 0.0680666 -0.00036595
1.875 -0.0282939 -0.000122444 -0.028291 0.00042423 0.0675221 -0.000360118
1.89 -0.0277314 -0.000100289 -0.0277288 0.00039373 0.0669863 -0.000354425
1.905 -0.0271865 -8.32923e-05 -0.0271841 0.000368702 0.0664588 -0.000348865
1.92 -0.0266595 -7.13201e-05 -0.0266573 0.000349012 0.0659397 -0.000343436
1.935 -0.0261504 -6.35635e-05 -0.0261484 0.000333842 0.0654285 -0.000338132
1.95 -0.0256595 -5.84818e-05 -0.0256575 0.000321646 0.0649253 -0.00033295
1.965 -0.0251854 -5.45343e-05 -0.0251835 0.000310865 0.0644297 -0.000327886
1.98 -0.0247267 -5.11872e-05 -0.0247249 0.000300943 0.0639416 -0.000322937
1.995 -0.0242824 -4.82471e-05 -0.0242807 0.000291671 0.0634609 -0.0003181
